reading: ../download/bike_crashes.csv
94 MERCER COUNTY 634 and KELSEY AVE, Ewing Township, NJ
95 NJ 31, Ewing Township, NJ
96 MERCER COUNTY 622, Ewing Township, NJ
97 MERCER COUNTY 636, Ewing Township, NJ
98 NJ 31, Ewing Township, NJ
99 MERCER COUNTY 627, Ewing Township, NJ
100 BEECHWOOD AVE and RT 634, Ewing Township, NJ
101 DEACON DR and LIONS RD., Hamilton Twp (Mercer Co), NJ
102 KLOCKNER RD, Hamilton Twp (Mercer Co), NJ
103 W PARK AVE, Hamilton Twp (Mercer Co), NJ
104 NJ 33, Hamilton Twp (Mercer Co), NJ
105 US 206, Hamilton Twp (Mercer Co), NJ
106 KLOCKNER RD, Hamilton Twp (Mercer Co), NJ
107 MERCER COUNTY 619, Hamilton Twp (Mercer Co), NJ
108 MERCER COUNTY 606, Hamilton Twp (Mercer Co), NJ
109 US 206, Hamilton Twp (Mercer Co), NJ
110 ROUTE 533, Hamilton Twp (Mercer Co), NJ
111 ROUTE 535, Hamilton Twp (Mercer Co), NJ
112 SLOAN AVE and KLOCKNER RD., Hamilton Twp (Mercer Co), NJ
113 BASIN RD and COTTON CT, Hamilton Twp (Mercer Co), NJ
114 4680 NOTTINGHAM WAY, Hamilton Twp (Mercer Co), NJ
115 LEONARD AVENUE, Hamilton Twp (Mercer Co), NJ
116 MCADOO AVE and BAKER AVE, Hamilton Twp (Mercer Co), NJ
117 US 206, Hamilton Twp (Mercer Co), NJ
118 MERCER COUNTY 606, Hamilton Twp (Mercer Co), NJ
119 MERCER COUNTY 620, Hamilton Twp (Mercer Co), NJ
120 ROUTE 546, Hopewell Twp (Mercer Co), NJ
121 US 206, Lawrence Twp (Mercer Co), NJ
122 PRINCETON UNIVERSITY PATH, Princeton Borough, NJ
123 VANDEVENTER AVE and WIGGINS STREET, Princeton Borough, NJ
124 HARRISON STREET and NJ 27, Princeton Borough, NJ
125 OLDEN ST and PROSPECT AVE, Princeton Borough, NJ
126 PROSPECT AVE and BROADMEAD, Princeton Borough, NJ
127 CHERRY VALLEY RD and GREAT ROAD, Princeton Township, NJ
128 MT LUCAS RD and HERRONTOWN RD., Princeton Township, NJ
129 193 NORTH HARRISON STREET and FRANKLIN AVENUE, Princeton Township, NJ
130 JOHN ST and BIRCH AVENUE, Princeton Township, NJ
131 MERCER COUNTY 606 and CR 622, Trenton City, NJ
132 MERCER COUNTY 653 and WAYNE AVENUE, Trenton City, NJ
133 US 206, Trenton City, NJ
134 MERCER COUNTY 635 and SOUTH COOK AVENUE, Trenton City, NJ
135 W STATE ST and BARRACKS STREET, Trenton City, NJ
136 MERCER COUNTY 622 and CR 606, Trenton City, NJ
137 MARKET STREET and STOCKTON STREET, Trenton City, NJ
138 US 206 and HUDSON STREET, Trenton City, NJ
139 S CLINTON AVE and TYLER STREET, Trenton City, NJ
140 NJ 33 and GARFIELD AVENUE, Trenton City, NJ
141 S CLINTON AVE and CAPNER AVE., Trenton City, NJ
142 MERCER COUNTY 606 and CR 622, Trenton City, NJ
143 WALNUT AVE and SOUTH COOK AVENUE, Trenton City, NJ
144 NJ 129 and CASS STREET, Trenton City, NJ
145 FAIRMONT AVE and REPUBLIC ALLEY, Trenton City, NJ
146 ROEBLING AVE, Trenton City, NJ
